addresstype,city,dt,summary,temp_min,temp_max,temp_day,feels_like_day,feels_like_night,feels_like_eve,feels_like_morn,humidity,clouds,pop,rain,uvi,wind_speed
city,Amiens,2024-06-21 13:00:00,Expect a day of partly cloudy with rain,12.63,20.81,18.08,17.95,12.38,19.31,14.28,77,86,0.83,4.42,6.45,4.94
city,Amiens,2024-06-22 13:00:00,Expect a day of partly cloudy with rain,11.7,18.07,17.05,16.95,11.41,16.69,13.09,82,99,1.0,4.85,6.54,6.75
city,Amiens,2024-06-23 13:00:00,Expect a day of partly cloudy with rain,10.66,21.93,20.95,20.82,14.38,20.77,11.82,66,19,0.2,0.1,8.31,3.9
city,Amiens,2024-06-24 13:00:00,Expect a day of partly cloudy with clear spells,11.84,23.81,22.7,22.72,17.52,21.95,12.88,65,5,0.0,,8.25,3.57
city,Amiens,2024-06-25 13:00:00,Expect a day of partly cloudy with rain,14.6,25.56,24.81,24.99,18.56,22.68,17.01,63,0,0.2,0.11,7.08,3.1
city,Amiens,2024-06-26 13:00:00,Expect a day of partly cloudy with rain,14.8,24.58,24.58,24.95,14.69,19.15,19.32,71,19,1.0,13.02,8.0,6.45
city,Amiens,2024-06-27 13:00:00,"You can expect partly cloudy in the morning, with rain in the afternoon",12.94,19.01,19.01,18.56,12.74,16.97,14.71,61,76,1.0,2.07,8.0,6.55
city,Amiens,2024-06-28 13:00:00,Expect a day of partly cloudy with rain,10.27,19.04,19.04,18.7,12.96,17.9,11.6,65,89,0.76,0.36,8.0,3.58
city,Annecy,2024-06-21 13:00:00,Expect a day of partly cloudy with rain,13.49,20.25,20.25,20.42,13.45,18.49,17.71,80,39,1.0,23.9,7.18,3.07
city,Annecy,2024-06-22 13:00:00,Expect a day of partly cloudy with rain,11.69,18.64,15.31,15.43,13.08,17.33,13.09,97,100,1.0,7.9,5.52,2.13
city,Annecy,2024-06-23 13:00:00,Expect a day of partly cloudy with rain,11.85,18.61,15.39,15.18,13.79,18.21,11.76,84,99,1.0,10.29,8.26,4.44
city,Annecy,2024-06-24 13:00:00,There will be partly cloudy today,11.91,21.72,20.95,20.82,16.56,20.44,13.66,66,85,0.0,,9.12,2.14
city,Annecy,2024-06-25 13:00:00,Expect a day of partly cloudy with rain,15.33,23.16,23.16,23.25,16.41,21.1,16.16,66,84,1.0,3.42,8.91,1.73
city,Annecy,2024-06-26 13:00:00,Expect a day of partly cloudy with rain,15.03,22.67,22.67,22.82,16.82,19.13,17.41,70,94,1.0,11.43,9.0,3.03
city,Annecy,2024-06-27 13:00:00,Expect a day of partly cloudy with rain,12.7,16.56,15.59,15.48,12.43,15.56,15.23,87,99,1.0,19.08,9.0,1.44
city,Annecy,2024-06-28 13:00:00,Expect a day of partly cloudy with rain,11.22,16.78,16.78,16.13,10.9,12.86,11.23,62,96,1.0,2.46,9.0,2.79
city,Avignon,2024-06-21 13:00:00,Expect a day of partly cloudy with rain,19.43,28.56,24.3,24.51,19.63,26.22,20.78,66,63,1.0,3.24,7.2,5.98
city,Avignon,2024-06-22 13:00:00,Expect a day of partly cloudy with rain,16.12,26.92,25.59,25.28,16.16,22.06,16.61,41,22,1.0,1.92,7.79,7.74
city,Avignon,2024-06-23 13:00:00,Expect a day of partly cloudy with rain,15.15,22.35,22.35,21.87,19.04,19.57,14.94,47,31,1.0,1.9,8.68,12.27
city,Avignon,2024-06-24 13:00:00,Expect a day of partly cloudy with clear spells,16.75,26.67,25.25,25.11,19.77,24.97,16.91,49,53,0.0,,9.05,7.53
city,Avignon,2024-06-25 13:00:00,"You can expect partly cloudy in the morning, with clearing in the afternoon",17.38,28.37,28.37,28.07,19.92,24.05,19.57,41,72,0.0,,9.01,6.21
city,Avignon,2024-06-26 13:00:00,Expect a day of partly cloudy with rain,18.79,26.03,24.91,25.13,21.01,24.36,20.75,64,98,0.78,2.25,10.0,4.43
city,Avignon,2024-06-27 13:00:00,"There will be rain until morning, then partly cloudy",17.24,22.85,22.51,22.15,16.69,20.51,18.54,51,100,0.55,,10.0,9.25
city,Avignon,2024-06-28 13:00:00,There will be partly cloudy today,13.81,21.66,20.52,19.88,14.78,19.29,14.63,48,53,0.0,,10.0,8.36
town,Bayeux,2024-06-21 14:00:00,Expect a day of partly cloudy with clear spells,13.28,20.39,19.56,19.24,13.01,16.31,15.48,64,14,0.05,,7.15,6.2
town,Bayeux,2024-06-22 14:00:00,Expect a day of partly cloudy with rain,11.73,17.76,17.62,17.08,11.41,16.13,13.27,63,41,1.0,3.15,6.58,6.81
town,Bayeux,2024-06-23 14:00:00,There will be clear sky today,10.05,19.32,19.16,18.78,12.06,16.59,12.59,63,2,0.0,,8.29,3.8
town,Bayeux,2024-06-24 14:00:00,There will be clear sky today,10.81,20.54,20.54,20.29,14.71,17.67,13.54,63,6,0.0,,8.21,3.47
town,Bayeux,2024-06-25 14:00:00,There will be clear sky today,14.4,22.33,22.33,22.42,15.92,19.34,17.13,69,0,0.0,,6.9,4.58
